Sl. No.,Year,Months - January - March,Months - April - June,Months - July - September,Months - October - December
1,2010,81073077,92678190,109826101,128384175
2,2011,128735676,135374931,155460328,157680940
3,2012,159146945,164479059,179569697,179007608
4,2013,179892627,186658154,207490249,205214252
5,2014,205428820,205728502,230877156,223564675
6,2015,216869939,226276246,245576382,242642385
7,2016,242613460,246467175,262227955,255890838
8,2017,257703255,247064113,254853799,225086536
9,2018,217252101,219295724,241964628,241278256
